function	medium_1	constant
function	medium_2	constant
function	medium_3	constant
function	medium_4	constant
function	medium_5	constant
function	linearModel	linear
TpyrP	medium_4	CONSTANT	372530.9854
TpyrP	medium_5	CONSTANT	372530.9854
TpyrP	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tado	medium_1	CONSTANT	372530.9854
Tado	medium_2	CONSTANT	372530.9854
Tado	medium_3	CONSTANT	372530.9854
Tado	medium_4	CONSTANT	372530.9854
Tado	medium_5	CONSTANT	372530.9854
Tado	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tguo	medium_1	CONSTANT	372530.9854
Tguo	medium_2	CONSTANT	372530.9854
Tguo	medium_3	CONSTANT	372530.9854
Tguo	medium_4	CONSTANT	372530.9854
Tguo	medium_5	CONSTANT	372530.9854
Tguo	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tino	medium_1	CONSTANT	372530.9854
Tino	medium_2	CONSTANT	372530.9854
Tino	medium_3	CONSTANT	372530.9854
Tino	medium_4	CONSTANT	372530.9854
Tino	medium_5	CONSTANT	372530.9854
Tino	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcto	medium_1	CONSTANT	372530.9854
Tcto	medium_2	CONSTANT	372530.9854
Tcto	medium_3	CONSTANT	372530.9854
Tcto	medium_4	CONSTANT	372530.9854
Tcto	medium_5	CONSTANT	372530.9854
Tcto	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tdado	medium_1	CONSTANT	372530.9854
Tdado	medium_2	CONSTANT	372530.9854
Tdado	medium_3	CONSTANT	372530.9854
Tdado	medium_4	CONSTANT	372530.9854
Tdado	medium_5	CONSTANT	372530.9854
Tdado	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Turi	medium_1	CONSTANT	372530.9854
Turi	medium_2	CONSTANT	372530.9854
Turi	medium_3	CONSTANT	372530.9854
Turi	medium_4	CONSTANT	372530.9854
Turi	medium_5	CONSTANT	372530.9854
Turi	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcti	medium_1	CONSTANT	372530.9854
Tcti	medium_2	CONSTANT	372530.9854
Tcti	medium_3	CONSTANT	372530.9854
Tcti	medium_4	CONSTANT	372530.9854
Tcti	medium_5	CONSTANT	372530.9854
